behaviorLogId,studentId,yearGroup,academicYear,date,primaryCategory,subcategory,severity,details,status,dateResolved
345,1217,5,2019/20,2019-09-02,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
346,1218,5,2019/20,2019-12-24,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
347,1218,5,2019/20,2020-05-28,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Resolved,2020-07-08
348,1219,5,2019/20,2020-05-10,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
349,1220,5,2019/20,2020-04-26,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
350,1220,5,2019/20,2020-05-30,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
351,1220,5,2019/20,2020-06-13,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
352,1221,5,2019/20,2019-11-15,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
353,1221,5,2019/20,2019-09-26,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
354,1223,5,2019/20,2020-06-27,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
355,1223,5,2019/20,2019-12-19,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Resolved,2020-02-29
356,1223,5,2019/20,2020-01-11,Safety and Discipline,Vandalism,Moderate,The student damaged school property intentionally.,Pending,
357,1224,5,2019/20,2020-06-10,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
358,1224,5,2019/20,2020-03-29,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
359,1224,5,2019/20,2020-05-31,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Resolved,2020-06-09
360,1225,5,2019/20,2020-02-28,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Resolved,2020-04-21
361,1225,5,2019/20,2019-09-30,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
362,1225,5,2019/20,2019-09-06,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
363,1226,5,2019/20,2019-11-13,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
364,1227,5,2019/20,2020-06-03,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Resolved,2020-08-07
365,1227,5,2019/20,2019-12-06,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
366,1228,5,2019/20,2019-12-13,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Resolved,2019-12-29
367,1228,5,2019/20,2019-09-25,Engagement/Participation,Sleeping in Class,Moderate,The student was found sleeping during a lecture.,Resolved,2019-09-28
368,1229,5,2019/20,2019-12-12,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
369,1229,5,2019/20,2019-09-10,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
370,1229,5,2019/20,2019-11-30,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Pending,
371,1230,5,2019/20,2020-03-09,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Resolved,2020-05-12
372,1230,5,2019/20,2020-06-16,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Resolved,2020-07-02
373,1230,5,2019/20,2020-07-26,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
374,1231,5,2019/20,2020-03-05,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
375,1231,5,2019/20,2020-06-16,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Pending,
376,1231,5,2019/20,2020-05-12,Aggressive/Unsafe Behavior,Verbal Aggression,Mild,The student used abusive or offensive language.,Pending,
377,1233,5,2019/20,2020-04-08,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
378,1233,5,2019/20,2020-06-23,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Pending,
379,1234,5,2019/20,2019-12-16,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
380,1234,5,2019/20,2020-05-09,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
381,1234,5,2019/20,2020-02-21,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
382,1236,5,2019/20,2020-06-10,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
383,1236,5,2019/20,2020-06-04,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
384,1236,5,2019/20,2019-09-02,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
385,1238,5,2019/20,2019-11-23,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
386,1238,5,2019/20,2019-10-12,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
387,1240,5,2019/20,2019-12-30,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Resolved,2020-01-15
388,1240,5,2019/20,2020-04-12,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
389,1241,5,2019/20,2020-03-23,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
390,1241,5,2019/20,2020-05-23,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
391,1241,5,2019/20,2020-07-21,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Pending,
392,1242,5,2019/20,2020-03-29,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
393,1242,5,2019/20,2019-12-20,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
394,1242,5,2019/20,2020-04-16,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Resolved,2020-05-22
395,1243,6,2019/20,2019-11-02,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
396,1244,6,2019/20,2020-03-17,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
397,1244,6,2019/20,2020-05-09,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
398,1245,6,2019/20,2020-06-04,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
399,1245,6,2019/20,2019-09-17,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
400,1246,6,2019/20,2020-04-26,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
401,1247,6,2019/20,2020-01-17,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Pending,
402,1247,6,2019/20,2020-05-30,Safety and Discipline,Vandalism,Moderate,The student damaged school property intentionally.,Pending,
403,1248,6,2019/20,2020-07-27,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Pending,
404,1248,6,2019/20,2020-03-26,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
405,1248,6,2019/20,2019-12-11,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Resolved,2019-12-26
406,1249,6,2019/20,2020-01-05,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Pending,
407,1249,6,2019/20,2020-06-29,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
408,1249,6,2019/20,2020-05-17,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
409,1250,6,2019/20,2020-03-08,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
410,1251,6,2019/20,2019-11-20,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
411,1252,6,2019/20,2020-02-03,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
412,1254,6,2019/20,2019-11-30,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
413,1254,6,2019/20,2019-09-20,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Pending,
414,1254,6,2019/20,2019-12-21,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Resolved,2020-02-29
415,1256,6,2019/20,2020-07-21,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
416,1257,6,2019/20,2019-12-22,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
417,1258,6,2019/20,2020-06-13,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
418,1258,6,2019/20,2020-07-12,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
419,1259,6,2019/20,2020-03-28,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
420,1261,6,2019/20,2019-11-05,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
421,1261,6,2019/20,2019-09-30,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
422,1262,6,2019/20,2019-09-25,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
423,1264,6,2019/20,2020-07-12,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Resolved,2020-07-19
424,1264,6,2019/20,2020-01-13,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Pending,
425,1264,6,2019/20,2020-02-19,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Resolved,2020-03-23
426,1265,6,2019/20,2019-09-05,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Pending,
427,1265,6,2019/20,2020-01-10,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
428,1266,6,2019/20,2020-07-30,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
429,1266,6,2019/20,2020-04-17,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Resolved,2020-05-21
430,1267,6,2019/20,2020-01-22,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
431,1268,6,2019/20,2020-06-18,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
432,1269,6,2019/20,2019-10-27,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
433,1269,6,2019/20,2020-04-14,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
434,1269,6,2019/20,2020-02-05,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Resolved,2020-02-25
435,1270,6,2019/20,2020-01-17,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
436,1270,6,2019/20,2019-09-18,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
437,1270,6,2019/20,2019-10-01,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
438,1272,6,2019/20,2020-04-17,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
439,1272,6,2019/20,2020-06-29,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
440,1273,6,2019/20,2019-09-20,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
441,1273,6,2019/20,2020-01-18,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
442,1274,6,2019/20,2020-07-30,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
443,1275,6,2019/20,2020-07-21,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Resolved,2020-09-23
444,1275,6,2019/20,2020-06-16,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
445,1277,6,2019/20,2020-05-05,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
446,1277,6,2019/20,2020-07-04,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
447,1277,6,2019/20,2019-09-20,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
448,1279,6,2019/20,2020-03-26,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
449,1279,6,2019/20,2019-12-18,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
450,1280,6,2019/20,2020-07-13,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Resolved,2020-09-09
451,1280,6,2019/20,2020-05-15,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Resolved,2020-06-15
452,1282,6,2019/20,2020-05-10,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
453,1282,6,2019/20,2020-06-27,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
454,1283,6,2019/20,2019-10-06,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
455,1283,6,2019/20,2019-10-04,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
456,1284,6,2019/20,2020-03-11,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
457,1284,6,2019/20,2019-09-21,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
458,1285,6,2019/20,2019-09-04,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
459,1285,6,2019/20,2020-05-17,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
460,1285,6,2019/20,2020-01-22,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
461,1287,6,2019/20,2020-02-05,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
462,1287,6,2019/20,2019-12-07,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
463,1287,6,2019/20,2020-07-06,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
464,1288,6,2019/20,2020-05-08,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
465,1288,6,2019/20,2019-12-17,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
466,1288,6,2019/20,2019-12-29,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
467,1289,6,2019/20,2020-07-06,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
468,1289,6,2019/20,2019-11-05,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
469,1289,6,2019/20,2020-05-26,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Resolved,2020-07-06
470,1291,1,2020/21,2020-10-22,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
471,1291,1,2020/21,2020-10-15,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
472,1292,1,2020/21,2020-11-13,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
473,1292,1,2020/21,2021-04-24,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
474,1292,1,2020/21,2021-03-30,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
475,1293,1,2020/21,2020-10-08,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
476,1293,1,2020/21,2021-05-06,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
477,1293,1,2020/21,2020-12-19,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Resolved,2021-02-10
478,1294,1,2020/21,2020-11-16,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
479,1294,1,2020/21,2020-12-14,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Pending,
480,1295,1,2020/21,2021-01-21,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Pending,
481,1295,1,2020/21,2020-10-07,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
482,1297,1,2020/21,2020-12-14,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Pending,
483,1297,1,2020/21,2021-02-10,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
484,1299,1,2020/21,2021-04-08,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
485,1299,1,2020/21,2021-01-27,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
486,1300,1,2020/21,2021-07-14,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
487,1300,1,2020/21,2021-07-07,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
488,1301,1,2020/21,2020-12-31,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
489,1302,1,2020/21,2021-07-28,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
490,1302,1,2020/21,2020-11-24,Engagement/Participation,Sleeping in Class,Moderate,The student was found sleeping during a lecture.,Pending,
491,1302,1,2020/21,2020-10-22,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
492,1303,1,2020/21,2021-07-24,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Resolved,2021-09-30
493,1305,1,2020/21,2021-06-20,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Resolved,2021-06-28
494,1305,1,2020/21,2021-03-02,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Resolved,2021-04-23
495,1306,1,2020/21,2021-02-18,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
496,1308,1,2020/21,2021-03-04,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
497,1309,1,2020/21,2021-03-02,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
498,1310,1,2020/21,2021-06-28,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
499,1311,1,2020/21,2020-09-25,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Resolved,2020-11-04
500,1311,1,2020/21,2020-12-02,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
501,1312,1,2020/21,2021-04-18,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
502,1313,1,2020/21,2021-04-07,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
503,1313,1,2020/21,2021-05-23,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Resolved,2021-08-05
504,1314,1,2020/21,2021-07-23,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Pending,
505,1317,1,2020/21,2020-12-25,Aggressive/Unsafe Behavior,Verbal Aggression,Mild,The student used abusive or offensive language.,Pending,
506,1317,1,2020/21,2021-05-22,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
507,1317,1,2020/21,2021-01-09,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Pending,
508,1319,1,2020/21,2021-01-20,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
509,1319,1,2020/21,2021-05-11,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
510,1320,1,2020/21,2021-07-25,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
511,1320,1,2020/21,2020-12-27,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
512,1320,1,2020/21,2020-09-22,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Pending,
513,1323,1,2020/21,2021-05-07,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
514,1323,1,2020/21,2021-03-10,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
515,1323,1,2020/21,2021-02-05,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
516,1325,1,2020/21,2021-03-07,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
517,1326,1,2020/21,2021-02-18,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
518,1327,1,2020/21,2021-07-31,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Resolved,2021-08-27
519,1328,1,2020/21,2021-02-04,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
520,1328,1,2020/21,2021-03-07,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
521,1328,1,2020/21,2021-04-21,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
522,1329,1,2020/21,2021-04-01,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
523,1330,1,2020/21,2020-09-08,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
524,1330,1,2020/21,2020-11-20,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
525,1330,1,2020/21,2021-01-01,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
526,1331,1,2020/21,2021-05-09,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Resolved,2021-07-12
527,1331,1,2020/21,2021-07-06,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
528,1332,1,2020/21,2020-11-11,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
529,1332,1,2020/21,2021-05-29,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
530,1332,1,2020/21,2021-05-23,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
531,1333,1,2020/21,2021-05-25,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
532,1333,1,2020/21,2021-05-25,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
533,1333,1,2020/21,2021-04-08,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
534,1334,1,2020/21,2020-10-30,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
535,1334,1,2020/21,2020-10-09,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
536,1335,1,2020/21,2021-03-20,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
537,1335,1,2020/21,2021-04-02,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
538,1336,1,2020/21,2020-11-14,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
539,1336,1,2020/21,2021-02-16,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
540,1337,1,2020/21,2021-07-18,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
541,1338,1,2020/21,2021-06-14,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
542,1001,2,2020/21,2021-06-24,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
543,1002,2,2020/21,2021-07-07,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
544,1002,2,2020/21,2021-02-03,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Resolved,2021-04-02
545,1003,2,2020/21,2021-04-13,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
546,1003,2,2020/21,2020-10-01,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Resolved,2020-11-24
547,1003,2,2020/21,2020-11-07,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
548,1005,2,2020/21,2020-09-11,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
549,1005,2,2020/21,2021-07-30,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Pending,
550,1006,2,2020/21,2021-03-12,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Resolved,2021-05-10
551,1007,2,2020/21,2021-05-15,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
552,1007,2,2020/21,2020-11-05,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Pending,
553,1007,2,2020/21,2020-09-23,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
554,1008,2,2020/21,2021-04-21,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Resolved,2021-06-14
555,1008,2,2020/21,2020-10-31,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
556,1008,2,2020/21,2020-09-29,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
557,1011,2,2020/21,2020-10-21,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
558,1011,2,2020/21,2021-05-25,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
559,1011,2,2020/21,2020-11-28,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
560,1012,2,2020/21,2021-05-01,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
561,1012,2,2020/21,2021-04-22,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
562,1013,2,2020/21,2020-11-08,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
563,1014,2,2020/21,2020-11-07,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Resolved,2020-12-29
564,1014,2,2020/21,2021-06-26,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Resolved,2021-08-21
565,1014,2,2020/21,2021-02-14,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Resolved,2021-04-16
566,1015,2,2020/21,2021-04-18,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
567,1015,2,2020/21,2020-09-22,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
568,1018,2,2020/21,2021-04-14,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
569,1019,2,2020/21,2021-03-04,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
570,1019,2,2020/21,2021-07-10,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
571,1020,2,2020/21,2020-10-31,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
